2025-11-09 09:48:10,662 - train_greyscale_FA_MoE.py - ckpt_root: output/acdc_wholeheart_uncond_fa_ec_moe_greyscale_uvit_mid_4by4_l8r12_Y_bound/ckpts
dataset:
  SNR_scale: 4.0
  Y_bound: !!python/tuple
  - 774.0
  Y_entropy: !!python/tuple
  - 5.287
  - 2.936
  - 3.005
  - 1.94
  - 2.216
  - 1.866
  - 1.186
  - 1.561
  - 1.581
  - 1.169
  - 1.024
  - 1.252
  - 1.071
  - 1.0
  - 1.0
  - 1.0
  Y_max: !!python/tuple
  - 774.0
  - 112.375
  - 125.812
  - 49.0
  - 58.5
  - 46.5
  - 20.344
  - 32.906
  - 33.406
  - 19.953
  - 15.953
  - 22.0
  - 16.984
  - 12.812
  - 11.68
  - 7.461
  Y_mean: !!python/tuple
  - 241.045
  - -0.725
  - 0.44
  - 0.107
  - 0.009
  - 0.154
  - -0.057
  - 0.0
  - -0.008
  - 0.019
  - 0.009
  - -0.012
  - 0.005
  - 0.002
  - 0.004
  - -0.002
  Y_min: !!python/tuple
  - 9.5
  - -119.312
  - -122.375
  - -51.25
  - -58.906
  - -49.5
  - -20.688
  - -32.906
  - -33.094
  - -19.891
  - -15.891
  - -21.75
  - -16.969
  - -12.773
  - -11.648
  - -7.492
  Y_std: !!python/tuple
  - 182.467
  - 32.821
  - 34.996
  - 14.001
  - 17.621
  - 13.189
  - 5.79
  - 9.609
  - 9.805
  - 5.652
  - 4.634
  - 6.502
  - 4.963
  - 3.796
  - 3.44
  - 2.178
  block_sz: 4
  dataset_type: wholeheart
  frequency_aware_tokens: true
  greyscale: true
  low_freqs: 16
  name: acdc_uncond
  num_fa_length: 8
  num_fa_repeats: 12
  num_fa_repeats_x: 3
  num_fa_repeats_y: 4
  path: data/scratch/datasets/ACDC/Unlabeled/Wholeheart
  resolution: 96
  reweight: true
  reweight_dim: -1
  tempature: 1.0
  tokens: 96
  tokenwise_normalization: Y_bound
lr_scheduler:
  name: customized
  warmup_steps: 5000
mixed_precision: 'no'
name: acdc_wholeheart_uncond_uvit_FA_EC_MoE_greyscale_mid_4by4
nnet:
  MoE:
    aux_loss_alpha: 0.0
    depth: 1
    noise_eps: 0.01
    num_experts: 4
    router: topk
    top_k: 2
    type: ecmoe
  depth: 16
  embed_dim: 768
  in_chans: 96
  low_freqs: 16
  mlp_ratio: 4
  mlp_time_embed: true
  name: uvit_greyscale_moe
  num_classes: -1
  num_heads: 12
  qkv_bias: false
  tokens: 96
  use_moe: true
optimizer:
  betas: !!python/tuple
  - 0.99
  - 0.99
  lr: 0.0002
  name: adamw
  weight_decay: 0.03
pred: noise_pred
private:
  accountant: prv
  dp_method: dpsgd
  max_grad_norm: 1.0
  noise_multiplier: 0.5
  secure_mode: false
  target_delta: 1.0e-05
  target_epsilon: 10
  use_dp: false
sample:
  algorithm: euler_maruyama_ode
  mini_batch_size: 500
  n_samples: 50000
  path: data/scratch/samples
  sample_steps: 100
  save_npz: ''
  save_start: 20000
sample_dir: output/acdc_wholeheart_uncond_fa_ec_moe_greyscale_uvit_mid_4by4_l8r12_Y_bound/samples
seed: 1234
train:
  batch_size: 512
  eval_interval: 25000
  log_interval: 100
  mode: uncond
  n_steps: 500000
  save_interval: 25000
workdir: output/acdc_wholeheart_uncond_fa_ec_moe_greyscale_uvit_mid_4by4_l8r12_Y_bound

2025-11-09 09:48:10,852 - train_greyscale_FA_MoE.py - dataset samples: 25023
2025-11-09 09:48:10,852 - train_greyscale_FA_MoE.py - Using Y_bound for positional token normalization
2025-11-09 09:48:19,848 - utils.py - nnet has 163185504 parameters
2025-11-09 09:48:20,573 - train_greyscale_FA_MoE.py - using [5.287 2.936 3.005 1.94  2.216 1.866 1.186 1.561 1.581 1.169 1.024 1.252
 1.071 1.    1.    1.   ] for loss reweighting
2025-11-09 09:48:20,574 - train_greyscale_FA_MoE.py - Using temperature 1.0 for loss reweighting
2025-11-09 09:48:20,903 - train_greyscale_FA_MoE.py - Start fitting, step=0, mixed_precision=no
2025-11-09 09:53:20,248 - train_greyscale_FA_MoE.py - {'step': '100', 'lr': '4e-06', 'total_loss': '0.874077', 'main_loss': '0.874077', 'time_per_step': '1.76673'}
2025-11-09 09:56:23,812 - train_greyscale_FA_MoE.py - {'step': '200', 'lr': '8e-06', 'total_loss': '0.503166', 'main_loss': '0.503166', 'time_per_step': '1.75913'}
2025-11-09 09:59:26,553 - train_greyscale_FA_MoE.py - {'step': '300', 'lr': '1.2e-05', 'total_loss': '0.372735', 'main_loss': '0.372735', 'time_per_step': '1.76007'}
2025-11-09 10:02:29,597 - train_greyscale_FA_MoE.py - {'step': '400', 'lr': '1.6e-05', 'total_loss': '0.304177', 'main_loss': '0.304177', 'time_per_step': '1.74439'}
2025-11-09 10:05:32,211 - train_greyscale_FA_MoE.py - {'step': '500', 'lr': '2e-05', 'total_loss': '0.216233', 'main_loss': '0.216233', 'time_per_step': '1.75544'}
2025-11-09 10:08:34,048 - train_greyscale_FA_MoE.py - {'step': '600', 'lr': '2.4e-05', 'total_loss': '0.151802', 'main_loss': '0.151802', 'time_per_step': '1.76662'}
2025-11-09 10:11:36,206 - train_greyscale_FA_MoE.py - {'step': '700', 'lr': '2.8e-05', 'total_loss': '0.122914', 'main_loss': '0.122914', 'time_per_step': '1.76268'}
2025-11-09 10:14:37,899 - train_greyscale_FA_MoE.py - {'step': '800', 'lr': '3.2e-05', 'total_loss': '0.0943667', 'main_loss': '0.0943667', 'time_per_step': '1.78751'}
2025-11-09 10:17:40,734 - train_greyscale_FA_MoE.py - {'step': '900', 'lr': '3.6e-05', 'total_loss': '0.108345', 'main_loss': '0.108345', 'time_per_step': '1.75238'}
2025-11-09 10:20:43,593 - train_greyscale_FA_MoE.py - {'step': '1000', 'lr': '4e-05', 'total_loss': '0.0824227', 'main_loss': '0.0824227', 'time_per_step': '1.7582'}
2025-11-09 10:23:45,113 - train_greyscale_FA_MoE.py - {'step': '1100', 'lr': '4.4e-05', 'total_loss': '0.0820945', 'main_loss': '0.0820945', 'time_per_step': '1.6961'}
2025-11-09 10:26:47,963 - train_greyscale_FA_MoE.py - {'step': '1200', 'lr': '4.8e-05', 'total_loss': '0.0816527', 'main_loss': '0.0816527', 'time_per_step': '1.66879'}
