2025-06-17 16:52:19,218 - train.py - ckpt_root: output/cifar10_uvit_mid_2by2/ckpts
dataset:
  Cb_std: !!python/tuple
  - 4.308
  - 1.315
  - 1.487
  - 1.0
  Cr_std: !!python/tuple
  - 4.014
  - 1.284
  - 1.435
  - 1.0
  SNR_scale: 4.0
  Y_bound: !!python/tuple
  - 242.382
  Y_std: !!python/tuple
  - 6.471
  - 3.588
  - 3.767
  - 2.411
  block_sz: 2
  low_freqs: 4
  name: cifar10
  path: /data/scratch/datasets/cifar10
  resolution: 32
  tokens: 64
lr_scheduler:
  name: customized
  warmup_steps: 5000
mixed_precision: fp16
nnet:
  depth: 16
  embed_dim: 768
  low_freqs: 4
  mlp_ratio: 4
  mlp_time_embed: false
  name: uvit
  num_classes: -1
  num_heads: 12
  qkv_bias: false
  tokens: 64
optimizer:
  betas: !!python/tuple
  - 0.99
  - 0.99
  lr: 0.0002
  name: adamw
  weight_decay: 0.03
pred: noise_pred
sample:
  algorithm: euler_maruyama_ode
  mini_batch_size: 500
  n_samples: 50000
  path: /data/scratch/samples
  sample_steps: 100
  save_npz: ''
sample_dir: output/cifar10_uvit_mid_2by2/samples
seed: 1234
train:
  batch_size: 128
  eval_interval: 25000
  log_interval: 100
  mode: uncond
  n_steps: 500000
  save_interval: 25000
workdir: output/cifar10_uvit_mid_2by2

2025-06-17 16:54:06,220 - train.py - ckpt_root: output/cifar10_uvit_mid_2by2/ckpts
dataset:
  Cb_std: !!python/tuple
  - 4.308
  - 1.315
  - 1.487
  - 1.0
  Cr_std: !!python/tuple
  - 4.014
  - 1.284
  - 1.435
  - 1.0
  SNR_scale: 4.0
  Y_bound: !!python/tuple
  - 242.382
  Y_std: !!python/tuple
  - 6.471
  - 3.588
  - 3.767
  - 2.411
  block_sz: 2
  low_freqs: 4
  name: cifar10
  path: data/scratch/datasets/cifar10
  resolution: 32
  tokens: 64
lr_scheduler:
  name: customized
  warmup_steps: 5000
mixed_precision: fp16
nnet:
  depth: 16
  embed_dim: 768
  low_freqs: 4
  mlp_ratio: 4
  mlp_time_embed: false
  name: uvit
  num_classes: -1
  num_heads: 12
  qkv_bias: false
  tokens: 64
optimizer:
  betas: !!python/tuple
  - 0.99
  - 0.99
  lr: 0.0002
  name: adamw
  weight_decay: 0.03
pred: noise_pred
sample:
  algorithm: euler_maruyama_ode
  mini_batch_size: 500
  n_samples: 50000
  path: data/scratch/samples
  sample_steps: 100
  save_npz: ''
sample_dir: output/cifar10_uvit_mid_2by2/samples
seed: 1234
train:
  batch_size: 128
  eval_interval: 25000
  log_interval: 100
  mode: uncond
  n_steps: 500000
  save_interval: 25000
workdir: output/cifar10_uvit_mid_2by2

2025-06-17 17:01:08,454 - train.py - ckpt_root: output/cifar10_uvit_mid_2by2/ckpts
dataset:
  Cb_std: !!python/tuple
  - 4.308
  - 1.315
  - 1.487
  - 1.0
  Cr_std: !!python/tuple
  - 4.014
  - 1.284
  - 1.435
  - 1.0
  SNR_scale: 4.0
  Y_bound: !!python/tuple
  - 242.382
  Y_std: !!python/tuple
  - 6.471
  - 3.588
  - 3.767
  - 2.411
  block_sz: 2
  low_freqs: 4
  name: cifar10
  path: data/scratch/datasets/cifar10
  resolution: 32
  tokens: 64
lr_scheduler:
  name: customized
  warmup_steps: 5000
mixed_precision: fp16
nnet:
  depth: 16
  embed_dim: 768
  low_freqs: 4
  mlp_ratio: 4
  mlp_time_embed: false
  name: uvit
  num_classes: -1
  num_heads: 12
  qkv_bias: false
  tokens: 64
optimizer:
  betas: !!python/tuple
  - 0.99
  - 0.99
  lr: 0.0002
  name: adamw
  weight_decay: 0.03
pred: noise_pred
sample:
  algorithm: euler_maruyama_ode
  mini_batch_size: 500
  n_samples: 50000
  path: data/scratch/samples
  sample_steps: 100
  save_npz: ''
sample_dir: output/cifar10_uvit_mid_2by2/samples
seed: 1234
train:
  batch_size: 128
  eval_interval: 25000
  log_interval: 100
  mode: uncond
  n_steps: 500000
  save_interval: 25000
workdir: output/cifar10_uvit_mid_2by2

2025-06-17 17:01:08,615 - train.py - dataset samples: 50000
2025-06-17 17:01:14,723 - utils.py - nnet has 129987096 parameters
2025-06-17 17:01:15,273 - train.py - using [6.471 3.588 3.767 2.411] for Y_loss reweighting
2025-06-17 17:01:15,296 - train.py - using [4.308 1.315 1.487 1.   ] for Cb_loss reweighting
2025-06-17 17:01:15,296 - train.py - using [4.014 1.284 1.435 1.   ] for Cr_loss reweighting
2025-06-17 17:01:15,300 - train.py - Start fitting, step=0, mixed_precision=fp16
2025-06-17 17:03:23,643 - train.py - {'step': '100', 'lr': '4e-06', 'loss': '0.461126'}
2025-06-17 17:03:23,657 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:04:06,883 - train.py - {'step': '200', 'lr': '8e-06', 'loss': '0.189956'}
2025-06-17 17:04:06,883 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:04:49,749 - train.py - {'step': '300', 'lr': '1.2e-05', 'loss': '0.17314'}
2025-06-17 17:04:49,749 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:05:31,784 - train.py - {'step': '400', 'lr': '1.6e-05', 'loss': '0.151266'}
2025-06-17 17:05:31,847 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:06:14,464 - train.py - {'step': '500', 'lr': '2e-05', 'loss': '0.110236'}
2025-06-17 17:06:14,465 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:06:56,620 - train.py - {'step': '600', 'lr': '2.4e-05', 'loss': '0.103589'}
2025-06-17 17:06:56,620 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:07:39,503 - train.py - {'step': '700', 'lr': '2.8e-05', 'loss': '0.100597'}
2025-06-17 17:07:39,504 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:08:21,216 - train.py - {'step': '800', 'lr': '3.2e-05', 'loss': '0.111466'}
2025-06-17 17:08:21,217 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:09:04,169 - train.py - {'step': '900', 'lr': '3.6e-05', 'loss': '0.121156'}
2025-06-17 17:09:04,177 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:09:47,558 - train.py - {'step': '1000', 'lr': '4e-05', 'loss': '0.0956721'}
2025-06-17 17:09:47,558 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:10:30,590 - train.py - {'step': '1100', 'lr': '4.4e-05', 'loss': '0.0763889'}
2025-06-17 17:10:30,591 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:11:11,391 - train.py - {'step': '1200', 'lr': '4.8e-05', 'loss': '0.111219'}
2025-06-17 17:11:11,391 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:11:54,842 - train.py - {'step': '1300', 'lr': '5.2e-05', 'loss': '0.0762928'}
2025-06-17 17:11:54,846 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:12:37,931 - train.py - {'step': '1400', 'lr': '5.6e-05', 'loss': '0.0941075'}
2025-06-17 17:12:37,931 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:13:20,965 - train.py - {'step': '1500', 'lr': '6e-05', 'loss': '0.0803396'}
2025-06-17 17:13:20,966 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:14:02,222 - train.py - {'step': '1600', 'lr': '6.4e-05', 'loss': '0.0940411'}
2025-06-17 17:14:02,222 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:14:45,211 - train.py - {'step': '1700', 'lr': '6.8e-05', 'loss': '0.0803217'}
2025-06-17 17:14:45,211 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:15:28,446 - train.py - {'step': '1800', 'lr': '7.2e-05', 'loss': '0.0655257'}
2025-06-17 17:15:28,446 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:16:11,796 - train.py - {'step': '1900', 'lr': '7.6e-05', 'loss': '0.0763041'}
2025-06-17 17:16:11,796 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:16:53,826 - train.py - {'step': '2000', 'lr': '8e-05', 'loss': '0.0470461'}
2025-06-17 17:16:53,826 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:17:36,655 - train.py - {'step': '2100', 'lr': '8.4e-05', 'loss': '0.0725184'}
2025-06-17 17:17:36,655 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:18:18,638 - train.py - {'step': '2200', 'lr': '8.8e-05', 'loss': '0.0553255'}
2025-06-17 17:18:18,639 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:19:01,551 - train.py - {'step': '2300', 'lr': '9.2e-05', 'loss': '0.0668851'}
2025-06-17 17:19:01,552 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:19:43,212 - train.py - {'step': '2400', 'lr': '9.6e-05', 'loss': '0.0634499'}
2025-06-17 17:19:43,212 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:20:25,219 - train.py - {'step': '2500', 'lr': '0.0001', 'loss': '0.0654428'}
2025-06-17 17:20:25,219 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:21:07,731 - train.py - {'step': '2600', 'lr': '0.000104', 'loss': '0.0637029'}
2025-06-17 17:21:07,731 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:21:49,856 - train.py - {'step': '2700', 'lr': '0.000108', 'loss': '0.0665236'}
2025-06-17 17:21:49,856 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:22:32,183 - train.py - {'step': '2800', 'lr': '0.000112', 'loss': '0.0537418'}
2025-06-17 17:22:32,184 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:23:14,729 - train.py - {'step': '2900', 'lr': '0.000116', 'loss': '0.0624436'}
2025-06-17 17:23:14,730 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:23:57,331 - train.py - {'step': '3000', 'lr': '0.00012', 'loss': '0.0685087'}
2025-06-17 17:23:57,331 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:24:36,164 - train.py - {'step': '3100', 'lr': '0.000124', 'loss': '0.0574698'}
2025-06-17 17:24:36,164 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:25:20,937 - train.py - {'step': '3200', 'lr': '0.000128', 'loss': '0.0610751'}
2025-06-17 17:25:20,938 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:26:03,071 - train.py - {'step': '3300', 'lr': '0.000132', 'loss': '0.0517577'}
2025-06-17 17:26:03,071 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:26:45,975 - train.py - {'step': '3400', 'lr': '0.000136', 'loss': '0.0554653'}
2025-06-17 17:26:45,975 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:27:22,860 - train.py - {'step': '3500', 'lr': '0.00014', 'loss': '0.0515678'}
2025-06-17 17:27:22,860 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:28:10,773 - train.py - {'step': '3600', 'lr': '0.000144', 'loss': '0.0548994'}
2025-06-17 17:28:10,774 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:28:53,360 - train.py - {'step': '3700', 'lr': '0.000148', 'loss': '0.0639087'}
2025-06-17 17:28:53,360 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:29:36,750 - train.py - {'step': '3800', 'lr': '0.000152', 'loss': '0.060319'}
2025-06-17 17:29:36,750 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:30:10,346 - train.py - {'step': '3900', 'lr': '0.000156', 'loss': '0.0488412'}
2025-06-17 17:30:10,346 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:31:00,844 - train.py - {'step': '4000', 'lr': '0.00016', 'loss': '0.0661585'}
2025-06-17 17:31:00,845 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:31:43,251 - train.py - {'step': '4100', 'lr': '0.000164', 'loss': '0.0538401'}
2025-06-17 17:31:43,251 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:32:25,931 - train.py - {'step': '4200', 'lr': '0.000168', 'loss': '0.0562149'}
2025-06-17 17:32:25,932 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:33:07,459 - train.py - {'step': '4300', 'lr': '0.000172', 'loss': '0.0786372'}
2025-06-17 17:33:07,459 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:33:50,727 - train.py - {'step': '4400', 'lr': '0.000176', 'loss': '0.0545585'}
2025-06-17 17:33:50,728 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:34:33,384 - train.py - {'step': '4500', 'lr': '0.00018', 'loss': '0.0552595'}
2025-06-17 17:34:33,385 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:35:15,973 - train.py - {'step': '4600', 'lr': '0.000184', 'loss': '0.0617707'}
2025-06-17 17:35:15,973 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:35:57,437 - train.py - {'step': '4700', 'lr': '0.000188', 'loss': '0.0563122'}
2025-06-17 17:35:57,437 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:36:40,206 - train.py - {'step': '4800', 'lr': '0.000192', 'loss': '0.0459605'}
2025-06-17 17:36:40,206 - train.py - output/cifar10_uvit_mid_2by2
2025-06-17 17:37:22,904 - train.py - {'step': '4900', 'lr': '0.000196', 'loss': '0.0756895'}
