Step	FID	IS_mean	IS_std	LPIPS
100000	246.825594	0.001980	0.000026	0.749623
125000	248.600115	0.001984	0.000021	0.740783
150000	249.304349	0.001985	0.000022	0.736817
175000	249.476976	0.001981	0.000018	0.733042
200000	247.259443	0.001974	0.000021	0.733157
225000	246.857441	0.001966	0.000013	0.730516
250000	247.209095	0.001969	0.000019	0.728181
275000	245.545194	0.001955	0.000015	0.727870
300000	244.711113	0.001954	0.000021	0.726665
325000	245.569624	0.001969	0.000027	0.727591
350000	244.963417	0.001954	0.000018	0.727621
375000	245.206335	0.001955	0.000016	0.727704
400000	243.124878	0.001959	0.000015	0.726962
425000	243.605267	0.001958	0.000014	0.726343
450000	243.003966	0.001951	0.000012	0.725555
475000	243.164090	0.001950	0.000018	0.727057
500000	243.265346	0.001943	0.000022	0.726138
