Step	FID	IS_mean	IS_std	LPIPS
100000	19.994804	0.001630	0.000015	0.508963
125000	21.057264	0.001637	0.000012	0.511845
150000	25.996316	0.001644	0.000015	0.511743
175000	31.750592	0.001661	0.000022	0.512767
200000	33.587219	0.001666	0.000022	0.513783
225000	35.558679	0.001675	0.000020	0.515369
250000	35.290214	0.001680	0.000019	0.514096
275000	39.295402	0.001692	0.000018	0.516959
300000	37.489805	0.001688	0.000022	0.517627
325000	37.258171	0.001690	0.000019	0.519293
350000	37.261424	0.001701	0.000019	0.517240
