Step	IS_mean	IS_std	LPIPS
100000	0.002086	0.000017	0.642220
125000	0.001995	0.000026	0.639797
150000	0.001979	0.000017	0.641093
175000	0.001942	0.000016	0.639296
200000	0.001954	0.000023	0.639724
225000	0.001940	0.000024	0.640301
250000	0.001944	0.000020	0.638917
275000	0.001929	0.000019	0.638754
300000	0.001928	0.000021	0.639451
325000	0.001927	0.000023	0.638185
350000	0.001930	0.000010	0.637937
375000	0.001934	0.000023	0.637898
400000	0.001934	0.000009	0.638437
425000	0.001945	0.000024	0.637785
450000	0.001929	0.000024	0.637136
475000	0.001921	0.000030	0.637223
500000	0.001927	0.000022	0.636352
