Step	FID	IS_mean	IS_std	LPIPS
125000	25.130343	0.001627	0.000015	0.510334
150000	25.290055	0.001625	0.000011	0.512384
175000	24.795578	0.001625	0.000010	0.513079
200000	24.000627	0.001618	0.000015	0.514516
225000	23.428769	0.001624	0.000013	0.512284
250000	21.303522	0.001619	0.000016	0.510779
275000	19.541563	0.001612	0.000015	0.511606
300000	19.499738	0.001615	0.000011	0.511165
325000	19.064726	0.001612	0.000017	0.511010
350000	18.889973	0.001619	0.000009	0.511076
375000	18.705596	0.001621	0.000015	0.511294
400000	18.436443	0.001611	0.000013	0.512117
425000	18.445879	0.001623	0.000014	0.511121
450000	18.435969	0.001618	0.000017	0.512384
475000	18.627566	0.001610	0.000017	0.512292
