2025-11-25 03:42:53,983 - train_greyscale_MoE.py - ckpt_root: output_shift/acdc_wholeheart_uncond_moe_greyscale_uvit_mid_4by4/ckpts
dataset:
  SNR_scale: 4.0
  Y_bound: !!python/tuple
  - 502.5
  Y_entropy: !!python/tuple
  - 5.883
  - 3.501
  - 3.575
  - 2.418
  - 2.75
  - 2.341
  - 1.479
  - 2.017
  - 2.044
  - 1.453
  - 1.316
  - 1.586
  - 1.365
  - 1.174
  - 1.108
  - 1.0
  Y_max: !!python/tuple
  - 262.0
  - 112.375
  - 125.812
  - 49.0
  - 58.5
  - 46.5
  - 20.344
  - 32.906
  - 33.406
  - 19.953
  - 15.953
  - 22.0
  - 16.984
  - 12.812
  - 11.68
  - 7.461
  Y_mean: !!python/tuple
  - -270.982
  - -0.725
  - 0.44
  - 0.107
  - 0.009
  - 0.154
  - -0.058
  - 0.0
  - -0.008
  - 0.019
  - 0.009
  - -0.012
  - 0.005
  - 0.002
  - 0.004
  - -0.002
  Y_min: !!python/tuple
  - -502.5
  - -119.312
  - -122.375
  - -51.25
  - -58.906
  - -49.5
  - -20.703
  - -32.906
  - -33.094
  - -19.891
  - -15.891
  - -21.75
  - -16.969
  - -12.773
  - -11.648
  - -7.492
  Y_std: !!python/tuple
  - 182.433
  - 32.822
  - 34.997
  - 14.001
  - 17.621
  - 13.189
  - 5.791
  - 9.609
  - 9.805
  - 5.653
  - 4.634
  - 6.503
  - 4.964
  - 3.796
  - 3.44
  - 2.178
  block_sz: 4
  cache: true
  cache_name: acdc_uncond_wholeheart_4Y
  dataset_type: wholeheart
  greyscale: true
  low_freqs: 12
  name: acdc_uncond
  path: data/scratch/datasets/ACDC/Unlabeled/Wholeheart
  resolution: 96
  reweight: true
  reweight_dim: 1
  tempature: 1.0
  tokens: 144
eval:
  cleanup_samples: true
  eval_start: 110000
  is_batch_size: 32
  lpips_batch_size: 32
  mini_batch_size: 500
  n_samples: 50000
  sample_steps: 100
eval_dir: output/evaluation/uncond_4by4_low16_new
lr_scheduler:
  name: customized
  warmup_steps: 5000
mixed_precision: 'no'
name: acdc_wholeheart_uncond_uvit_greyscale_mid_4by4
nnet:
  MoE:
    aux_loss_alpha: 0.001
    depth: 1
    noise_eps: 0.01
    num_experts: 4
    router: topk
    top_k: 2
    type: normal
  depth: 16
  embed_dim: 768
  low_freqs: 12
  mlp_ratio: 4
  mlp_time_embed: true
  name: uvit_greyscale_moe
  num_classes: -1
  num_heads: 12
  qkv_bias: false
  tokens: 144
  use_moe: true
optimizer:
  betas: !!python/tuple
  - 0.99
  - 0.99
  lr: 0.0002
  name: adamw
  weight_decay: 0.03
pred: noise_pred
private:
  accountant: prv
  dp_method: dpsgd
  max_grad_norm: 1.0
  noise_multiplier: 0.5
  secure_mode: false
  target_delta: 1.0e-05
  target_epsilon: 10
  use_dp: false
sample:
  algorithm: euler_maruyama_ode
  mini_batch_size: 500
  n_samples: 50000
  path: data/scratch/samples
  sample_steps: 100
  save_npz: ''
  save_start: 100000
sample_dir: output_shift/acdc_wholeheart_uncond_moe_greyscale_uvit_mid_4by4/samples
seed: 1234
train:
  batch_size: 512
  eval_interval: 25000
  log_interval: 100
  mode: uncond
  n_steps: 500000
  save_interval: 25000
workdir: output_shift/acdc_wholeheart_uncond_moe_greyscale_uvit_mid_4by4

2025-11-25 03:43:32,114 - train_greyscale_MoE.py - dataset samples: 25022
2025-11-25 03:43:41,376 - utils.py - nnet has 163148592 parameters
2025-11-25 03:43:42,077 - train_greyscale_MoE.py - using [5.883 3.501 3.575 2.418 2.75  2.341 1.479 2.017 2.044 1.453 1.316 1.586
 1.365 1.174 1.108 1.   ] for Y_loss reweighting
2025-11-25 03:43:42,087 - train_greyscale_MoE.py - Using temperature 1.0 for loss reweighting
2025-11-25 03:43:42,106 - train_greyscale_MoE.py - Start fitting, step=0, mixed_precision=no
2025-11-25 03:48:48,593 - train_greyscale_MoE.py - {'step': '100', 'lr': '4e-06', 'total_loss': '0.563508', 'main_loss': '0.558424', 'aux_loss': '5.08411', 'time_per_step': '2.16595'}
2025-11-25 03:52:34,221 - train_greyscale_MoE.py - {'step': '200', 'lr': '8e-06', 'total_loss': '0.398162', 'main_loss': '0.392333', 'aux_loss': '5.82876', 'time_per_step': '2.2494'}
2025-11-25 03:56:20,695 - train_greyscale_MoE.py - {'step': '300', 'lr': '1.2e-05', 'total_loss': '0.295568', 'main_loss': '0.289584', 'aux_loss': '5.98366', 'time_per_step': '2.16869'}
2025-11-25 04:00:07,872 - train_greyscale_MoE.py - {'step': '400', 'lr': '1.6e-05', 'total_loss': '0.243453', 'main_loss': '0.238577', 'aux_loss': '4.87654', 'time_per_step': '3.43657'}
2025-11-25 04:03:54,008 - train_greyscale_MoE.py - {'step': '500', 'lr': '2e-05', 'total_loss': '0.173838', 'main_loss': '0.169286', 'aux_loss': '4.55214', 'time_per_step': '2.21744'}
2025-11-25 04:07:41,096 - train_greyscale_MoE.py - {'step': '600', 'lr': '2.4e-05', 'total_loss': '0.162412', 'main_loss': '0.158024', 'aux_loss': '4.38771', 'time_per_step': '2.16941'}
2025-11-25 04:11:27,311 - train_greyscale_MoE.py - {'step': '700', 'lr': '2.8e-05', 'total_loss': '0.12906', 'main_loss': '0.124847', 'aux_loss': '4.21373', 'time_per_step': '2.17357'}
2025-11-25 04:15:13,052 - train_greyscale_MoE.py - {'step': '800', 'lr': '3.2e-05', 'total_loss': '0.152783', 'main_loss': '0.148618', 'aux_loss': '4.16447', 'time_per_step': '2.20056'}
2025-11-25 04:19:00,080 - train_greyscale_MoE.py - {'step': '900', 'lr': '3.6e-05', 'total_loss': '0.139839', 'main_loss': '0.135771', 'aux_loss': '4.06767', 'time_per_step': '2.13932'}
2025-11-25 04:22:46,950 - train_greyscale_MoE.py - {'step': '1000', 'lr': '4e-05', 'total_loss': '0.126678', 'main_loss': '0.122656', 'aux_loss': '4.02202', 'time_per_step': '2.18991'}
2025-11-25 04:26:33,928 - train_greyscale_MoE.py - {'step': '1100', 'lr': '4.4e-05', 'total_loss': '0.132952', 'main_loss': '0.128955', 'aux_loss': '3.99712', 'time_per_step': '2.18936'}
2025-11-25 04:30:18,764 - train_greyscale_MoE.py - {'step': '1200', 'lr': '4.8e-05', 'total_loss': '0.11283', 'main_loss': '0.10883', 'aux_loss': '3.99951', 'time_per_step': '2.08451'}
2025-11-25 04:34:05,607 - train_greyscale_MoE.py - {'step': '1300', 'lr': '5.2e-05', 'total_loss': '0.113226', 'main_loss': '0.109228', 'aux_loss': '3.99873', 'time_per_step': '2.12713'}
2025-11-25 04:37:51,016 - train_greyscale_MoE.py - {'step': '1400', 'lr': '5.6e-05', 'total_loss': '0.116693', 'main_loss': '0.112691', 'aux_loss': '4.00113', 'time_per_step': '2.18595'}
2025-11-25 04:41:37,010 - train_greyscale_MoE.py - {'step': '1500', 'lr': '6e-05', 'total_loss': '0.111568', 'main_loss': '0.107569', 'aux_loss': '3.99861', 'time_per_step': '2.18013'}
2025-11-25 04:45:22,331 - train_greyscale_MoE.py - {'step': '1600', 'lr': '6.4e-05', 'total_loss': '0.108266', 'main_loss': '0.104258', 'aux_loss': '4.0078', 'time_per_step': '2.17531'}
2025-11-25 04:49:08,829 - train_greyscale_MoE.py - {'step': '1700', 'lr': '6.8e-05', 'total_loss': '0.11878', 'main_loss': '0.114776', 'aux_loss': '4.00447', 'time_per_step': '2.19623'}
2025-11-25 04:52:55,788 - train_greyscale_MoE.py - {'step': '1800', 'lr': '7.2e-05', 'total_loss': '0.118433', 'main_loss': '0.114433', 'aux_loss': '4.00028', 'time_per_step': '2.16784'}
2025-11-25 04:56:42,627 - train_greyscale_MoE.py - {'step': '1900', 'lr': '7.6e-05', 'total_loss': '0.121078', 'main_loss': '0.117083', 'aux_loss': '3.99503', 'time_per_step': '2.17917'}
2025-11-25 05:00:27,716 - train_greyscale_MoE.py - {'step': '2000', 'lr': '8e-05', 'total_loss': '0.118216', 'main_loss': '0.114214', 'aux_loss': '4.00247', 'time_per_step': '2.16385'}
2025-11-25 05:04:14,260 - train_greyscale_MoE.py - {'step': '2100', 'lr': '8.4e-05', 'total_loss': '0.11042', 'main_loss': '0.106417', 'aux_loss': '4.00291', 'time_per_step': '2.17502'}
2025-11-25 05:08:00,676 - train_greyscale_MoE.py - {'step': '2200', 'lr': '8.8e-05', 'total_loss': '0.111462', 'main_loss': '0.107451', 'aux_loss': '4.01099', 'time_per_step': '2.15129'}
2025-11-25 05:11:46,116 - train_greyscale_MoE.py - {'step': '2300', 'lr': '9.2e-05', 'total_loss': '0.0953068', 'main_loss': '0.0913054', 'aux_loss': '4.00139', 'time_per_step': '2.13253'}
2025-11-25 05:15:30,938 - train_greyscale_MoE.py - {'step': '2400', 'lr': '9.6e-05', 'total_loss': '0.117012', 'main_loss': '0.113014', 'aux_loss': '3.99819', 'time_per_step': '2.09052'}
2025-11-25 05:19:17,566 - train_greyscale_MoE.py - {'step': '2500', 'lr': '0.0001', 'total_loss': '0.0941071', 'main_loss': '0.0901039', 'aux_loss': '4.00319', 'time_per_step': '2.15939'}
2025-11-25 05:23:04,280 - train_greyscale_MoE.py - {'step': '2600', 'lr': '0.000104', 'total_loss': '0.0925066', 'main_loss': '0.0885129', 'aux_loss': '3.99374', 'time_per_step': '2.24485'}
2025-11-25 05:26:50,769 - train_greyscale_MoE.py - {'step': '2700', 'lr': '0.000108', 'total_loss': '0.0812325', 'main_loss': '0.0772234', 'aux_loss': '4.00912', 'time_per_step': '2.18816'}
2025-11-25 05:30:36,178 - train_greyscale_MoE.py - {'step': '2800', 'lr': '0.000112', 'total_loss': '0.0763758', 'main_loss': '0.0723643', 'aux_loss': '4.01152', 'time_per_step': '2.16714'}
2025-11-25 05:34:22,259 - train_greyscale_MoE.py - {'step': '2900', 'lr': '0.000116', 'total_loss': '0.0972568', 'main_loss': '0.0932535', 'aux_loss': '4.00326', 'time_per_step': '2.1943'}
2025-11-25 05:38:09,171 - train_greyscale_MoE.py - {'step': '3000', 'lr': '0.00012', 'total_loss': '0.0785769', 'main_loss': '0.0745564', 'aux_loss': '4.02052', 'time_per_step': '2.16931'}
2025-11-25 05:41:56,367 - train_greyscale_MoE.py - {'step': '3100', 'lr': '0.000124', 'total_loss': '0.075894', 'main_loss': '0.0718787', 'aux_loss': '4.01538', 'time_per_step': '2.17252'}
2025-11-25 05:45:42,350 - train_greyscale_MoE.py - {'step': '3200', 'lr': '0.000128', 'total_loss': '0.0838545', 'main_loss': '0.07984', 'aux_loss': '4.01458', 'time_per_step': '2.17765'}
