2025-11-28 13:21:39,191 - train_greyscale_MoE.py - ckpt_root: output_shift/echonet_dynamic_uncond_2MoE_greyscale_uvit_mid_4by4_Y_bound/ckpts
dataset:
  SNR_scale: 4.0
  Y_bound: !!python/tuple
  - 512.0
  Y_entropy: !!python/tuple
  - 5.419
  - 2.769
  - 2.659
  - 1.88
  - 2.022
  - 1.575
  - 1.018
  - 1.338
  - 1.593
  - 1.484
  - 1.309
  - 1.163
  - 0.928
  - 0.925
  - 1.051
  - 0.852
  Y_max: !!python/tuple
  - 148.0
  - 107.812
  - 89.625
  - 47.0
  - 56.938
  - 34.0
  - 14.758
  - 29.281
  - 38.125
  - 35.156
  - 27.938
  - 22.0
  - 12.641
  - 12.125
  - 18.391
  - 11.641
  Y_mean: !!python/tuple
  - -390.081
  - 0.103
  - -0.947
  - 0.171
  - 0.192
  - 0.203
  - 0.001
  - 0.061
  - 0.233
  - -0.075
  - -0.051
  - -0.199
  - -0.046
  - -0.076
  - -0.042
  - 0.029
  Y_min: !!python/tuple
  - -512.0
  - -108.688
  - -112.5
  - -52.5
  - -55.75
  - -36.75
  - -14.586
  - -27.062
  - -37.156
  - -36.156
  - -28.484
  - -27.75
  - -13.672
  - -14.266
  - -19.562
  - -10.367
  Y_std: !!python/tuple
  - 163.706
  - 28.348
  - 26.485
  - 11.872
  - 13.871
  - 8.085
  - 2.919
  - 6.039
  - 8.605
  - 7.49
  - 5.683
  - 4.875
  - 2.372
  - 2.172
  - 3.337
  - 1.668
  block_sz: 4
  cache: true
  cache_name: cached_echonet_dynamic_4by4_4Y
  dataset_type: dynamic
  greyscale: true
  low_freqs: 12
  name: echonet
  path: data/scratch/datasets/EchoNet-Dynamic
  resolution: 112
  reweight: true
  reweight_dim: 1
  temperature: 0.0
  tokens: 196
eval:
  cleanup_samples: true
  eval_start: 110000
  is_batch_size: 32
  lpips_batch_size: 32
  mini_batch_size: 500
  n_samples: 50000
  sample_steps: 100
eval_dir: output/evaluation/echonet_uncond_4by4_low16_new
lr_scheduler:
  name: customized
  warmup_steps: 5000
mixed_precision: 'no'
name: echonet_dynamic_uncond_uvit_greyscale_mid_4by4
nnet:
  MoE:
    aux_loss_alpha: 0.001
    depth: 2
    noise_eps: 0.01
    num_experts: 4
    router: topk
    top_k: 2
    type: normal
  depth: 16
  embed_dim: 768
  low_freqs: 12
  mlp_ratio: 4
  mlp_time_embed: true
  name: uvit_greyscale_moe
  num_classes: -1
  num_heads: 12
  qkv_bias: false
  tokens: 196
  use_moe: true
optimizer:
  betas: !!python/tuple
  - 0.99
  - 0.99
  lr: 0.0002
  name: adamw
  weight_decay: 0.03
pred: noise_pred
private:
  accountant: prv
  dp_method: dpsgd
  max_grad_norm: 1.0
  noise_multiplier: 0.5
  secure_mode: false
  target_delta: 1.0e-05
  target_epsilon: 10
  use_dp: false
sample:
  algorithm: euler_maruyama_ode
  mini_batch_size: 500
  n_samples: 50000
  path: data/scratch/samples
  sample_steps: 100
  save_npz: ''
  save_start: 10000
sample_dir: output_shift/echonet_dynamic_uncond_2MoE_greyscale_uvit_mid_4by4_Y_bound/samples
seed: 1234
train:
  batch_size: 512
  eval_interval: 25000
  log_interval: 100
  mode: uncond
  n_steps: 500000
  save_interval: 25000
workdir: output_shift/echonet_dynamic_uncond_2MoE_greyscale_uvit_mid_4by4_Y_bound

2025-11-28 13:21:41,333 - train_greyscale_MoE.py - dataset samples: 358259
2025-11-28 13:21:50,292 - utils.py - nnet has 163188528 parameters
2025-11-28 13:21:50,982 - train_greyscale_MoE.py - using [5.419 2.769 2.659 1.88  2.022 1.575 1.018 1.338 1.593 1.484 1.309 1.163
 0.928 0.925 1.051 0.852] for Y_loss reweighting
2025-11-28 13:21:50,991 - train_greyscale_MoE.py - Using temperature 0.0 for loss reweighting
2025-11-28 13:21:51,003 - train_greyscale_MoE.py - Start fitting, step=0, mixed_precision=no
2025-11-28 13:27:29,002 - train_greyscale_MoE.py - {'step': '100', 'lr': '4e-06', 'total_loss': '0.742305', 'main_loss': '0.737996', 'aux_loss': '4.30902', 'time_per_step': '2.85022'}
2025-11-28 13:32:40,512 - train_greyscale_MoE.py - {'step': '200', 'lr': '8e-06', 'total_loss': '0.307762', 'main_loss': '0.302156', 'aux_loss': '5.60506', 'time_per_step': '2.85969'}
2025-11-28 13:37:53,344 - train_greyscale_MoE.py - {'step': '300', 'lr': '1.2e-05', 'total_loss': '0.179196', 'main_loss': '0.173781', 'aux_loss': '5.41486', 'time_per_step': '2.87203'}
2025-11-28 13:43:05,216 - train_greyscale_MoE.py - {'step': '400', 'lr': '1.6e-05', 'total_loss': '0.109328', 'main_loss': '0.104365', 'aux_loss': '4.96299', 'time_per_step': '2.85749'}
2025-11-28 13:48:17,053 - train_greyscale_MoE.py - {'step': '500', 'lr': '2e-05', 'total_loss': '0.0972008', 'main_loss': '0.0928893', 'aux_loss': '4.3115', 'time_per_step': '2.85942'}
2025-11-28 13:53:28,731 - train_greyscale_MoE.py - {'step': '600', 'lr': '2.4e-05', 'total_loss': '0.0761199', 'main_loss': '0.0720116', 'aux_loss': '4.10828', 'time_per_step': '2.86696'}
2025-11-28 13:58:41,744 - train_greyscale_MoE.py - {'step': '700', 'lr': '2.8e-05', 'total_loss': '0.0796229', 'main_loss': '0.0756013', 'aux_loss': '4.02165', 'time_per_step': '2.84177'}
2025-11-28 14:03:44,648 - train_greyscale_MoE.py - {'step': '800', 'lr': '3.2e-05', 'total_loss': '0.0646047', 'main_loss': '0.0606404', 'aux_loss': '3.96434', 'time_per_step': '2.91141'}
2025-11-28 14:08:52,387 - train_greyscale_MoE.py - {'step': '900', 'lr': '3.6e-05', 'total_loss': '0.0545153', 'main_loss': '0.0505537', 'aux_loss': '3.96163', 'time_per_step': '2.86964'}
2025-11-28 14:14:02,216 - train_greyscale_MoE.py - {'step': '1000', 'lr': '4e-05', 'total_loss': '0.0548333', 'main_loss': '0.0508485', 'aux_loss': '3.98474', 'time_per_step': '2.92072'}
2025-11-28 14:19:14,860 - train_greyscale_MoE.py - {'step': '1100', 'lr': '4.4e-05', 'total_loss': '0.0484214', 'main_loss': '0.0444434', 'aux_loss': '3.97805', 'time_per_step': '2.86648'}
2025-11-28 14:24:28,166 - train_greyscale_MoE.py - {'step': '1200', 'lr': '4.8e-05', 'total_loss': '0.0468581', 'main_loss': '0.0428685', 'aux_loss': '3.98959', 'time_per_step': '2.86927'}
2025-11-28 14:29:40,366 - train_greyscale_MoE.py - {'step': '1300', 'lr': '5.2e-05', 'total_loss': '0.0466051', 'main_loss': '0.0426345', 'aux_loss': '3.97059', 'time_per_step': '2.85145'}
2025-11-28 14:34:52,244 - train_greyscale_MoE.py - {'step': '1400', 'lr': '5.6e-05', 'total_loss': '0.0404035', 'main_loss': '0.0364231', 'aux_loss': '3.9804', 'time_per_step': '2.85057'}
2025-11-28 14:39:54,665 - train_greyscale_MoE.py - {'step': '1500', 'lr': '6e-05', 'total_loss': '0.0529202', 'main_loss': '0.0489559', 'aux_loss': '3.96427', 'time_per_step': '2.86216'}
2025-11-28 14:45:00,374 - train_greyscale_MoE.py - {'step': '1600', 'lr': '6.4e-05', 'total_loss': '0.0496632', 'main_loss': '0.0457083', 'aux_loss': '3.95495', 'time_per_step': '2.90808'}
2025-11-28 14:50:08,969 - train_greyscale_MoE.py - {'step': '1700', 'lr': '6.8e-05', 'total_loss': '0.0405557', 'main_loss': '0.0365939', 'aux_loss': '3.96176', 'time_per_step': '2.87146'}
2025-11-28 14:55:20,308 - train_greyscale_MoE.py - {'step': '1800', 'lr': '7.2e-05', 'total_loss': '0.0416722', 'main_loss': '0.0377059', 'aux_loss': '3.96633', 'time_per_step': '3.14994'}
2025-11-28 15:00:30,035 - train_greyscale_MoE.py - {'step': '1900', 'lr': '7.6e-05', 'total_loss': '0.0406267', 'main_loss': '0.0366727', 'aux_loss': '3.95396', 'time_per_step': '3.15538'}
2025-11-28 15:05:39,998 - train_greyscale_MoE.py - {'step': '2000', 'lr': '8e-05', 'total_loss': '0.0401285', 'main_loss': '0.0361893', 'aux_loss': '3.93927', 'time_per_step': '2.94241'}
2025-11-28 15:10:51,909 - train_greyscale_MoE.py - {'step': '2100', 'lr': '8.4e-05', 'total_loss': '0.0377424', 'main_loss': '0.0337873', 'aux_loss': '3.95502', 'time_per_step': '2.86322'}
2025-11-28 15:15:54,175 - train_greyscale_MoE.py - {'step': '2200', 'lr': '8.8e-05', 'total_loss': '0.0438917', 'main_loss': '0.0399363', 'aux_loss': '3.9554', 'time_per_step': '2.88803'}
2025-11-28 15:21:00,267 - train_greyscale_MoE.py - {'step': '2300', 'lr': '9.2e-05', 'total_loss': '0.0386552', 'main_loss': '0.0346945', 'aux_loss': '3.96066', 'time_per_step': '3.01692'}
2025-11-28 15:26:09,741 - train_greyscale_MoE.py - {'step': '2400', 'lr': '9.6e-05', 'total_loss': '0.0415195', 'main_loss': '0.0375795', 'aux_loss': '3.94004', 'time_per_step': '2.86413'}
2025-11-28 15:31:21,964 - train_greyscale_MoE.py - {'step': '2500', 'lr': '0.0001', 'total_loss': '0.0393625', 'main_loss': '0.0354118', 'aux_loss': '3.95066', 'time_per_step': '2.85927'}
2025-11-28 15:36:33,811 - train_greyscale_MoE.py - {'step': '2600', 'lr': '0.000104', 'total_loss': '0.0388891', 'main_loss': '0.0349417', 'aux_loss': '3.94737', 'time_per_step': '2.85345'}
2025-11-28 15:41:45,755 - train_greyscale_MoE.py - {'step': '2700', 'lr': '0.000108', 'total_loss': '0.038032', 'main_loss': '0.0340768', 'aux_loss': '3.95522', 'time_per_step': '2.86155'}
2025-11-28 15:46:57,076 - train_greyscale_MoE.py - {'step': '2800', 'lr': '0.000112', 'total_loss': '0.0381075', 'main_loss': '0.0341623', 'aux_loss': '3.94526', 'time_per_step': '2.9308'}
2025-11-28 15:51:59,486 - train_greyscale_MoE.py - {'step': '2900', 'lr': '0.000116', 'total_loss': '0.0406049', 'main_loss': '0.0366613', 'aux_loss': '3.94362', 'time_per_step': '2.88079'}
2025-11-28 15:57:05,630 - train_greyscale_MoE.py - {'step': '3000', 'lr': '0.00012', 'total_loss': '0.0304306', 'main_loss': '0.0264725', 'aux_loss': '3.95815', 'time_per_step': '2.86393'}
2025-11-28 16:02:15,312 - train_greyscale_MoE.py - {'step': '3100', 'lr': '0.000124', 'total_loss': '0.0318628', 'main_loss': '0.0279124', 'aux_loss': '3.9504', 'time_per_step': '2.85392'}
2025-11-28 16:07:25,744 - train_greyscale_MoE.py - {'step': '3200', 'lr': '0.000128', 'total_loss': '0.0341036', 'main_loss': '0.0301378', 'aux_loss': '3.96575', 'time_per_step': '2.86847'}
