Step	FID	IS_mean	IS_std	LPIPS
100000	34.347636	0.001632	0.000012	0.511147
125000	21.913945	0.001627	0.000013	0.512934
150000	29.582205	0.001643	0.000014	0.511582
175000	20.913170	0.001615	0.000011	0.509573
200000	21.983313	0.001635	0.000014	0.509135
225000	22.492971	0.001635	0.000012	0.510962
250000	18.996862	0.001635	0.000011	0.509697
275000	20.808219	0.001636	0.000014	0.512226
300000	19.198941	0.001635	0.000011	0.511718
325000	22.325275	0.001634	0.000020	0.513343
350000	21.459755	0.001642	0.000013	0.511341
375000	21.897457	0.001640	0.000017	0.511340
400000	22.493835	0.001639	0.000013	0.512831
425000	22.686792	0.001644	0.000019	0.513676
450000	22.249154	0.001651	0.000018	0.512142
475000	21.693445	0.001642	0.000017	0.511901
500000	22.443533	0.001641	0.000025	0.511646
