Step	FID	IS_mean	IS_std	LPIPS
100000	30.449582	0.001633	0.000016	0.510392
125000	32.082017	0.001644	0.000019	0.510041
150000	19.006194	0.001639	0.000013	0.512088
175000	22.623784	0.001636	0.000016	0.510592
200000	25.205751	0.001658	0.000010	0.514634
225000	25.343362	0.001660	0.000017	0.512270
250000	25.552533	0.001663	0.000015	0.512988
275000	25.902047	0.001666	0.000016	0.513853
300000	24.803277	0.001666	0.000015	0.513896
325000	26.038322	0.001660	0.000021	0.513830
350000	24.679013	0.001663	0.000013	0.514205
375000	24.051036	0.001661	0.000012	0.514589
400000	24.084270	0.001658	0.000022	0.513791
425000	24.031914	0.001651	0.000019	0.513526
450000	23.742597	0.001652	0.000022	0.515237
475000	24.115249	0.001661	0.000019	0.514606
500000	24.561010	0.001653	0.000013	0.511792
