Step	FID	IS_mean	IS_std	LPIPS
100000	34.719324	0.001789	0.000015	0.469674
125000	28.895671	0.001809	0.000008	0.463556
150000	18.100221	0.001816	0.000012	0.458551
175000	17.250738	0.001826	0.000010	0.458791
200000	17.793299	0.001817	0.000017	0.458544
225000	16.533592	0.001829	0.000011	0.459312
250000	16.350971	0.001836	0.000012	0.459071
275000	15.820481	0.001846	0.000012	0.461845
300000	14.840382	0.001848	0.000014	0.460692
325000	14.927084	0.001849	0.000017	0.461760
350000	14.154545	0.001848	0.000010	0.460620
375000	14.893744	0.001853	0.000010	0.458338
400000	14.081959	0.001855	0.000023	0.459692
