2026-02-05 11:37:09,503 - train_greyscale_FA_MoE.py - ckpt_root: output_shift_fa/acdc_wholeheart_uncond_fa_ec_moe_greyscale_uvit_mid_4by4_l6r9_low16_Y_bound_nomlp/ckpts
dataset:
  SNR_scale: 4.0
  Y_bound: !!python/tuple
  - 502.5
  Y_entropy: !!python/tuple
  - 5.883
  - 3.501
  - 3.575
  - 2.418
  - 2.75
  - 2.341
  - 1.479
  - 2.017
  - 2.044
  - 1.453
  - 1.316
  - 1.586
  - 1.365
  - 1.174
  - 1.108
  - 1.0
  Y_max: !!python/tuple
  - 262.0
  - 112.375
  - 125.812
  - 49.0
  - 58.5
  - 46.5
  - 20.344
  - 32.906
  - 33.406
  - 19.953
  - 15.953
  - 22.0
  - 16.984
  - 12.812
  - 11.68
  - 7.461
  Y_mean: !!python/tuple
  - -270.982
  - -0.725
  - 0.44
  - 0.107
  - 0.009
  - 0.154
  - -0.058
  - 0.0
  - -0.008
  - 0.019
  - 0.009
  - -0.012
  - 0.005
  - 0.002
  - 0.004
  - -0.002
  Y_min: !!python/tuple
  - -502.5
  - -119.312
  - -122.375
  - -51.25
  - -58.906
  - -49.5
  - -20.703
  - -32.906
  - -33.094
  - -19.891
  - -15.891
  - -21.75
  - -16.969
  - -12.773
  - -11.648
  - -7.492
  Y_std: !!python/tuple
  - 182.433
  - 32.822
  - 34.997
  - 14.001
  - 17.621
  - 13.189
  - 5.791
  - 9.609
  - 9.805
  - 5.653
  - 4.634
  - 6.503
  - 4.964
  - 3.796
  - 3.44
  - 2.178
  block_sz: 4
  dataset_type: wholeheart
  frequency_aware_tokens: true
  greyscale: true
  low_freqs: 16
  name: acdc_uncond
  num_fa_length: 8
  num_fa_repeats: 9
  num_fa_repeats_x: 3
  num_fa_repeats_y: 3
  path: data/scratch/datasets/ACDC/Unlabeled/Wholeheart
  resolution: 96
  reweight: true
  reweight_dim: -1
  temperature: 0.0
  tokens: 128
  tokenwise_normalization: Y_bound
eval:
  cleanup_samples: true
  eval_start: 400000
  is_batch_size: 32
  lpips_batch_size: 32
  mini_batch_size: 500
  n_samples: 50000
  sample_steps: 100
eval_dir: output/evaluation/FA_EC_l8r9_4by4_low16
lr_scheduler:
  name: customized
  warmup_steps: 5000
mixed_precision: 'no'
name: acdc_wholeheart_uncond_uvit_FA_EC_MoE_greyscale_mid_4by4_low16_nomlp
nnet:
  MoE:
    aux_loss_alpha: 0.0
    depth: 1
    noise_eps: 0.01
    num_experts: 4
    router: topk
    top_k: 2
    type: ecmoe
  depth: 16
  embed_dim: 768
  in_chans: 72
  low_freqs: 16
  mlp_ratio: 4
  mlp_time_embed: false
  name: uvit_greyscale_moe
  num_classes: -1
  num_heads: 12
  qkv_bias: false
  tokens: 128
  use_moe: true
optimizer:
  betas: !!python/tuple
  - 0.99
  - 0.99
  lr: 0.0002
  name: adamw
  weight_decay: 0.03
pred: noise_pred
private:
  accountant: prv
  dp_method: dpsgd
  max_grad_norm: 1.0
  noise_multiplier: 0.5
  secure_mode: false
  target_delta: 1.0e-05
  target_epsilon: 10
  use_dp: false
sample:
  algorithm: euler_maruyama_ode
  mini_batch_size: 500
  n_samples: 50000
  path: data/scratch/samples
  sample_steps: 100
  save_npz: ''
  save_start: 20000
sample_dir: output_shift_fa/acdc_wholeheart_uncond_fa_ec_moe_greyscale_uvit_mid_4by4_l6r9_low16_Y_bound_nomlp/samples
seed: 1234
train:
  batch_size: 512
  eval_interval: 25000
  log_interval: 100
  mode: uncond
  n_steps: 500000
  save_interval: 25000
workdir: output_shift_fa/acdc_wholeheart_uncond_fa_ec_moe_greyscale_uvit_mid_4by4_l6r9_low16_Y_bound_nomlp

2026-02-05 11:38:18,557 - train_greyscale_FA_MoE.py - dataset samples: 25022
2026-02-05 11:38:18,558 - train_greyscale_FA_MoE.py - Using Y_bound for positional token normalization
2026-02-05 11:38:26,962 - utils.py - nnet has 158450760 parameters
2026-02-05 11:38:27,715 - train_greyscale_FA_MoE.py - using [5.883 3.501 3.575 2.418 2.75  2.341 1.479 2.017 2.044 1.453 1.316 1.586
 1.365 1.174 1.108 1.   ] for loss reweighting
2026-02-05 11:38:27,716 - train_greyscale_FA_MoE.py - Using temperature 0.0 for loss reweighting
2026-02-05 11:38:28,022 - train_greyscale_FA_MoE.py - Start fitting, step=0, mixed_precision=no
2026-02-05 11:44:05,695 - train_greyscale_FA_MoE.py - {'step': '100', 'lr': '4e-06', 'total_loss': '0.920126', 'main_loss': '0.920126', 'time_per_step': '2.318'}
2026-02-05 11:48:05,543 - train_greyscale_FA_MoE.py - {'step': '200', 'lr': '8e-06', 'total_loss': '0.543861', 'main_loss': '0.543861', 'time_per_step': '2.34654'}
2026-02-05 11:52:04,980 - train_greyscale_FA_MoE.py - {'step': '300', 'lr': '1.2e-05', 'total_loss': '0.251832', 'main_loss': '0.251832', 'time_per_step': '2.27361'}
2026-02-05 11:56:03,497 - train_greyscale_FA_MoE.py - {'step': '400', 'lr': '1.6e-05', 'total_loss': '0.155548', 'main_loss': '0.155548', 'time_per_step': '2.3235'}
2026-02-05 12:00:03,036 - train_greyscale_FA_MoE.py - {'step': '500', 'lr': '2e-05', 'total_loss': '0.113976', 'main_loss': '0.113976', 'time_per_step': '2.35845'}
2026-02-05 12:04:02,576 - train_greyscale_FA_MoE.py - {'step': '600', 'lr': '2.4e-05', 'total_loss': '0.0869918', 'main_loss': '0.0869918', 'time_per_step': '2.33818'}
2026-02-05 12:08:01,868 - train_greyscale_FA_MoE.py - {'step': '700', 'lr': '2.8e-05', 'total_loss': '0.0795585', 'main_loss': '0.0795585', 'time_per_step': '2.28067'}
2026-02-05 12:12:02,690 - train_greyscale_FA_MoE.py - {'step': '800', 'lr': '3.2e-05', 'total_loss': '0.0630118', 'main_loss': '0.0630118', 'time_per_step': '2.29382'}
2026-02-05 12:16:01,324 - train_greyscale_FA_MoE.py - {'step': '900', 'lr': '3.6e-05', 'total_loss': '0.0724972', 'main_loss': '0.0724972', 'time_per_step': '2.34545'}
2026-02-05 12:19:59,852 - train_greyscale_FA_MoE.py - {'step': '1000', 'lr': '4e-05', 'total_loss': '0.0533245', 'main_loss': '0.0533245', 'time_per_step': '2.2997'}
2026-02-05 12:23:59,710 - train_greyscale_FA_MoE.py - {'step': '1100', 'lr': '4.4e-05', 'total_loss': '0.0534109', 'main_loss': '0.0534109', 'time_per_step': '2.22227'}
2026-02-05 12:27:58,579 - train_greyscale_FA_MoE.py - {'step': '1200', 'lr': '4.8e-05', 'total_loss': '0.054488', 'main_loss': '0.054488', 'time_per_step': '2.21572'}
2026-02-05 12:31:57,443 - train_greyscale_FA_MoE.py - {'step': '1300', 'lr': '5.2e-05', 'total_loss': '0.0491035', 'main_loss': '0.0491035', 'time_per_step': '2.34721'}
2026-02-05 12:35:57,294 - train_greyscale_FA_MoE.py - {'step': '1400', 'lr': '5.6e-05', 'total_loss': '0.0493957', 'main_loss': '0.0493957', 'time_per_step': '2.32509'}
2026-02-05 12:39:57,292 - train_greyscale_FA_MoE.py - {'step': '1500', 'lr': '6e-05', 'total_loss': '0.0429968', 'main_loss': '0.0429968', 'time_per_step': '2.32134'}
2026-02-05 12:43:57,580 - train_greyscale_FA_MoE.py - {'step': '1600', 'lr': '6.4e-05', 'total_loss': '0.0385872', 'main_loss': '0.0385872', 'time_per_step': '2.32348'}
2026-02-05 12:47:57,382 - train_greyscale_FA_MoE.py - {'step': '1700', 'lr': '6.8e-05', 'total_loss': '0.0465074', 'main_loss': '0.0465074', 'time_per_step': '2.35436'}
2026-02-05 12:51:55,900 - train_greyscale_FA_MoE.py - {'step': '1800', 'lr': '7.2e-05', 'total_loss': '0.0508827', 'main_loss': '0.0508827', 'time_per_step': '2.29474'}
2026-02-05 12:55:56,715 - train_greyscale_FA_MoE.py - {'step': '1900', 'lr': '7.6e-05', 'total_loss': '0.0484277', 'main_loss': '0.0484277', 'time_per_step': '2.31394'}
2026-02-05 12:59:56,435 - train_greyscale_FA_MoE.py - {'step': '2000', 'lr': '8e-05', 'total_loss': '0.0469524', 'main_loss': '0.0469524', 'time_per_step': '2.32745'}
2026-02-05 13:03:55,968 - train_greyscale_FA_MoE.py - {'step': '2100', 'lr': '8.4e-05', 'total_loss': '0.0447252', 'main_loss': '0.0447252', 'time_per_step': '2.32764'}
2026-02-05 13:07:55,418 - train_greyscale_FA_MoE.py - {'step': '2200', 'lr': '8.8e-05', 'total_loss': '0.0445045', 'main_loss': '0.0445045', 'time_per_step': '2.34556'}
2026-02-05 13:11:54,969 - train_greyscale_FA_MoE.py - {'step': '2300', 'lr': '9.2e-05', 'total_loss': '0.0413997', 'main_loss': '0.0413997', 'time_per_step': '2.21822'}
2026-02-05 13:15:54,744 - train_greyscale_FA_MoE.py - {'step': '2400', 'lr': '9.6e-05', 'total_loss': '0.0351503', 'main_loss': '0.0351503', 'time_per_step': '2.22413'}
2026-02-05 13:19:55,422 - train_greyscale_FA_MoE.py - {'step': '2500', 'lr': '0.0001', 'total_loss': '0.0487951', 'main_loss': '0.0487951', 'time_per_step': '2.32181'}
2026-02-05 13:23:55,609 - train_greyscale_FA_MoE.py - {'step': '2600', 'lr': '0.000104', 'total_loss': '0.0407554', 'main_loss': '0.0407554', 'time_per_step': '2.37064'}
2026-02-05 13:27:55,130 - train_greyscale_FA_MoE.py - {'step': '2700', 'lr': '0.000108', 'total_loss': '0.046633', 'main_loss': '0.046633', 'time_per_step': '2.2975'}
2026-02-05 13:31:55,272 - train_greyscale_FA_MoE.py - {'step': '2800', 'lr': '0.000112', 'total_loss': '0.0419313', 'main_loss': '0.0419313', 'time_per_step': '2.33486'}
2026-02-05 13:35:55,757 - train_greyscale_FA_MoE.py - {'step': '2900', 'lr': '0.000116', 'total_loss': '0.0393676', 'main_loss': '0.0393676', 'time_per_step': '2.31479'}
2026-02-05 13:39:55,011 - train_greyscale_FA_MoE.py - {'step': '3000', 'lr': '0.00012', 'total_loss': '0.0446692', 'main_loss': '0.0446692', 'time_per_step': '2.32622'}
2026-02-05 13:43:56,103 - train_greyscale_FA_MoE.py - {'step': '3100', 'lr': '0.000124', 'total_loss': '0.0445226', 'main_loss': '0.0445226', 'time_per_step': '2.29862'}
2026-02-05 13:47:55,142 - train_greyscale_FA_MoE.py - {'step': '3200', 'lr': '0.000128', 'total_loss': '0.0412874', 'main_loss': '0.0412874', 'time_per_step': '2.29374'}
2026-02-05 13:51:55,217 - train_greyscale_FA_MoE.py - {'step': '3300', 'lr': '0.000132', 'total_loss': '0.0376634', 'main_loss': '0.0376634', 'time_per_step': '2.31204'}
